epoch,loss,acc
epoch,loss,acc
1,51.75698,51.50376
2,50.62398,65.03760
3,53.00493,60.90226
4,54.31856,67.29324
5,54.27751,67.66918
6,55.31199,66.72933
7,56.10017,63.34587
8,56.59278,68.23309
9,53.50575,71.61655
10,55.93596,68.60903
11,53.14450,68.98497
12,58.19376,71.24060
13,58.07882,67.10527
14,57.47948,67.10527
15,56.05912,65.97745
16,57.09360,66.54136
17,56.21511,69.36091
18,57.69294,74.24812
19,58.53859,73.68421
20,59.20362,70.48873
21,57.08539,64.84963
22,59.10509,69.54888
23,57.55337,69.92482
24,59.46634,68.98497
25,60.95238,66.16542
26,58.53038,72.18045
27,57.29064,70.48873
28,59.55665,72.36842
29,57.97209,72.93233
30,58.60427,73.30827
31,60.64861,70.48873
32,60.20526,70.30076
33,58.51396,73.12030
34,58.77669,72.93233
35,58.89984,73.87218
36,59.65518,71.42858
37,59.72907,72.74436
38,60.90312,74.06015
39,61.68309,73.68421
40,61.37931,73.12030
41,60.30378,74.06015
42,62.63547,74.06015
43,62.61905,76.12782
44,60.10674,74.81203
45,60.81281,74.24812
46,60.32020,77.06767
47,60.82923,73.30827
48,60.73892,75.93985
49,61.64204,73.87218
50,61.17406,75.75188
51,62.38917,74.62406
52,63.10345,74.24812
53,61.48605,72.93233
54,61.14943,74.62406
55,60.63219,77.63158
56,61.92940,76.69173
57,62.57800,75.93985
58,62.14286,76.12782
59,60.99344,74.06015
60,63.14450,73.49624
61,63.34976,76.50376
62,62.37275,77.44361
63,63.49754,77.06767
64,62.18391,73.12030
65,64.82759,78.00752
66,63.40723,76.50376
67,60.74713,78.57143
68,63.62890,76.12782
69,62.58621,79.13534
70,63.39081,78.94737
71,61.90477,75.93985
72,62.36454,77.06767
73,64.89327,75.18797
74,64.04762,79.32331
75,61.71593,75.37594
76,64.33498,78.00752
77,63.39902,74.24812
78,64.93432,76.50376
79,65.37767,77.63158
80,62.38096,75.75188
81,62.79968,76.12782
82,64.18720,75.37594
83,64.90969,74.62406
84,64.10509,76.87970
85,63.94910,76.31579
86,63.71101,76.87970
87,64.09688,76.87970
88,61.61741,78.57143
89,63.34155,77.25564
90,65.64861,76.87970
91,64.49918,75.00000
92,64.42529,78.19549
93,65.92775,77.44361
94,63.31692,75.56391
95,65.94417,76.50376
96,65.81281,77.06767
97,65.46798,77.44361
98,66.74056,78.94737
99,65.22989,75.56391
100,63.95731,75.00000
101,63.66995,76.50376
102,66.01807,74.81203
103,63.84237,75.75188
104,66.75698,77.44361
105,66.35468,76.12782
106,65.32020,75.56391
107,66.01807,78.57143
108,65.22989,78.38346
109,65.88670,75.00000
110,65.45156,77.44361
111,65.23810,79.13534
112,63.38260,77.63158
113,65.34483,77.63158
114,65.22989,76.87970
115,65.51725,77.63158
116,66.06733,79.13534
117,66.05912,78.57143
118,64.19541,77.44361
119,66.26437,78.00752
120,66.99508,76.69173
121,64.88506,78.75940
122,67.10181,76.50376
123,64.82759,78.19549
124,65.74713,77.81955
125,65.63219,76.69173
126,66.31363,77.44361
127,66.32184,77.44361
128,66.99508,77.81955
129,65.23810,77.63158
130,65.76355,76.87970
131,65.47619,76.87970
132,66.28079,77.44361
133,65.66503,76.12782
134,67.06076,77.25564
135,66.61741,77.81955
136,66.00986,78.38346
137,67.40559,75.37594
138,66.88014,76.87970
139,65.06569,78.19549
140,66.57636,76.87970
141,66.10838,77.44361
142,67.79968,79.51128
143,66.95403,76.87970
144,66.46963,77.81955
145,66.03449,78.00752
146,66.17406,78.19549
147,68.48933,76.87970
148,66.44500,78.00752
149,67.01150,77.63158
150,65.96881,77.25564
151,65.57472,78.38346
152,66.78982,77.44361
153,65.63219,79.51128
154,67.21675,78.38346
155,68.91626,78.75940
156,68.76848,79.32331
157,67.86536,77.44361
158,67.24138,80.07519
159,65.78818,77.44361
160,68.05419,77.44361
161,68.14450,77.06767
162,67.04434,78.19549
163,67.91462,79.13534
164,67.35633,78.94737
165,67.19212,80.07519
166,65.58293,77.25564
167,66.95403,77.81955
168,69.26109,77.06767
169,67.24959,79.69925
170,67.98851,79.13534
171,66.07554,76.69173
172,68.03777,78.94737
173,67.08539,79.32331
174,67.30707,79.32331
175,67.39738,75.75188
176,70.45977,80.07519
177,69.12151,79.69925
178,67.05255,81.57895
179,69.95074,79.32331
180,68.07882,79.32331
181,68.02956,80.07519
182,67.51232,77.25564
183,68.81774,79.13534
184,67.07718,77.81955
185,67.14286,78.75940
186,67.98030,78.00752
187,67.15107,77.44361
188,66.42036,78.57143
189,69.02299,79.32331
190,69.47455,78.75940
191,68.93268,77.44361
192,66.73235,79.13534
193,67.55337,78.19549
194,69.63876,77.63158
195,68.34155,80.82707
196,66.32184,78.38346
197,68.57964,78.94737
198,68.17734,78.00752
199,68.32513,78.00752
200,68.91626,78.75940
201,68.75206,78.75940
202,69.12973,79.32331
203,67.86536,78.94737
204,66.87193,79.13534
205,68.87521,80.26316
206,66.94582,78.75940
207,67.72578,77.81955
208,70.17242,78.94737
209,70.05748,78.38346
210,71.43679,80.63910
211,68.71101,79.32331
212,67.59442,77.81955
213,67.73399,79.13534
214,68.71101,79.51128
215,67.06897,80.63910
216,71.29721,81.39098
217,68.30050,80.82707
218,69.81938,81.57895
219,68.62890,79.69925
220,68.20197,79.51128
221,68.57964,81.01504
222,69.62234,79.51128
223,69.67160,81.01504
224,70.10674,81.57895
225,69.33498,81.39098
226,69.35961,81.76692
227,69.11330,81.39098
228,69.12151,81.76692
229,69.92611,78.57143
230,67.17570,80.82707
231,69.09688,80.45113
232,68.93268,80.82707
